0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.08.264.959 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.167
0.08.264.966 I slot launch_slot_: id  3 | task 112 | processing task, is_child = 0
0.08.266.736 I slot      release: id  3 | task 112 | stop processing: n_tokens = 6, truncated = 0
0.08.267.988 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 8107272
0.08.267.995 I slot launch_slot_: id  2 | task 114 | processing task, is_child = 0
0.08.270.904 I slot      release: id  2 | task 114 | stop processing: n_tokens = 18, truncated = 0
0.08.292.562 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.056
0.08.292.570 I slot launch_slot_: id  2 | task 116 | processing task, is_child = 0
0.08.294.701 I slot      release: id  2 | task 116 | stop processing: n_tokens = 9, truncated = 0
0.08.308.538 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.111
0.08.308.548 I slot launch_slot_: id  2 | task 118 | processing task, is_child = 0
0.08.310.617 I slot      release: id  2 | task 118 | stop processing: n_tokens = 9, truncated = 0
0.08.323.585 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.111
0.08.323.595 I slot launch_slot_: id  2 | task 120 | processing task, is_child = 0
